"title","author","rating","reviews","price","description","themes"
"Crone of Thorns","Amanda M. Lee","4.8 out of 5 stars","(561)","","Scout Randall is ready for the return of one enemy. What she gets is two for the price of one.Bonnie Jenkins returns in the middle of nowhere, in the middle of the night, and in the middle of a very weird pack of dogs. They’re not wolf shifters, but they’re determined to keep Bonnie separate from Scout.Bonnie’s escape weighs heavily on Scout, but the dogs are a problem, especially when the truth about the arrival becomes clear.The kishi don’t belong in Michigan. They’re from another world.Their motivations are hidden.Their allegiances are unknown.Their goal is the only thing that is clear.They want Scout’s magic. They’ll settle for Bonnie’s magic, too. With that will come total domination.Scout has zero intention of letting them win. She’s outnumbered but not outgunned thanks to her merry band of misfits.It’s all hands on deck for another crazy Hawthorne Hollow adventure. What happens when three enemies collide? Who will come out alive?  Read more","paranormal"
"Zodiac Academy 6: Fated Throne","Caroline Peckham","4.5 out of 5 stars","(79,340)","","Fate has torn us apart.Without my sister, the world seems darker than ever before and the shadows loom thicker, rising up to answer the call of the Shadow Princess and changing the face of Solaria for good.Now Lionel Acrux has the strength to make a move for the throne, I’m not sure how much time we have left to stop him.Our only hope is to find the Imperial Star before he does. We made the sacrifice the stars called for and we’re paying the price for that decision so it can’t be for nothing.But with the stars turning against us at every move, and the last light in the world seeming to fade, I’m afraid we’re almost out of time.Hope is a dangerous thing. It’s the key to us fighting on. But it could be what destroys us in the end.One thing is for certain, I won’t stop until I have been reunited with my other half and together we will fight to take our crowns.A war is coming.The throne is calling for a new monarch. And someone must answer its call.  Read more","paranormal"
"Forged in Blood: A Dark Paranormal/ Fantasy romance (Broken Bloodlines Book 1)","Sadie Kincaid","4.3 out of 5 stars","(34,506)","","A dark paranormal/ fantasy romance from bestselling author, Sadie Kincaid.Every few millennia, a child is born. Some say they’re marked with a curse.Others claim they possess the power of the ages. Meet Ophelia Hart. Lover of classic literature and unicorns. An orphan with nobody in her corner—no family, no friends. But it’s her loneliness that fuels her life’s ambition to become a social worker and help the forgotten children just like her. For a foster kid with only slightly above-average grades, it feels like a pipe dream.Except it seems that someone is looking out for Ophelia after all. When an unexpected opportunity to attend Montridge University arises, she thinks her life is finally taking a turn for the better.Too bad she comes to the attention of the three ruthless, arrogant commanders of the Ruby Dragon Society. Three of the most feared and powerful vampires on campus.But Ophelia doesn’t believe in vampires. Or in witches, or magic, or ancient prophecies. Until she has no choice. Little does she know, she’s about to have her whole world turned upside down. Because there is something about Ophelia Hart. Something that captures not only the attention of the Ruby Dragon commanders, but also their powerful, enigmatic sire—Professor Alexandros Drakos.With no idea of the power running through her veins, Ophelia must learn to trust the very men whom all others fear. And she needs to do it fast, for there are darker forces at work than those at Montridge University. Forces that were long ago Forged in Blood.Forged in Blood is book one in a trilogy. Books 1 and 2 end on cliffhangers and book 3 is a HEA.  Read more","paranormal"
"Sweetwater and the Witch (A Harmony Novel Book 16)","Jayne Castle","4.7 out of 5 stars","(5,948)","","Welcome to the world of Harmony, where—despite its name, things are anything but—danger lurks just beneath the surface in this new novel by New York Times bestselling author, Jayne Castle.  If there’s something Ravenna Chastain knows, it’s when to end things. And after she almost winds up the victim of a cult that believes she’s a witch, it’s easy to walk away from her dead-end career, ready for a new start. But where to find a job that would allow her to use her very specialized skill set? The answer is clear: she becomes a matchmaker.   But even a successful matchmaker can’t find someone for everyone, and Ravenna considers Ethan Sweetwater her first professional failure. After nine failed dates, Ravenna knows it’s time to cut Ethan loose. But Ethan refuses to be fired as a client—he needs one final date to a business function. Since Ravenna needs a date herself to a family event, they agree to a deal: she will be his (business) date if he will be her (fake) date to her grandparents’ anniversary celebration.   What Ethan fails to mention is that attending the business function is a cover for some industrial espionage that he’s doing as a favor to the new Illusion Town Guild boss. Ravenna is happy to help, but their relationship gets even more complicated when things heat up—the chemistry between them is explosive, as explosive as the danger that’s stalking Ravenna. Lucky for her, Ethan isn’t just an engineer—he’s also a Sweetwater, and Sweetwaters are known for hunting down monsters…  Read more","paranormal"
"Obsidian (Shadowbound Fae Book 1)","K.F. Breene","4.4 out of 5 stars","(11,377)","","You are mine now. Mine to play with. Mine to break.He is secrets, danger and passion. He is forbidden sin.And now he holds the key to destroy all I hold dear.The Dark Fae never told me his name. Not when he tried to seduce me, and not before he purposely botched one of my jobs and stole what was mine -- a dangerous relic with unlimited power. It has the ability to break kingdoms… and tear down the wall that separates the human world from the dangerous, wyld magic of the fae.He knows that I will do anything to protect my family. Even follow him beyond the wall, into his lands.Mortals aren't allowed in the Obsidian Kingdom. Those who're caught are killed…or turned into captives. Playthings of the Dark King and his royal family.That's what the Dark Fae wants: to turn me into his toy. To play with. To break.But I'm not the kind of toy he's used to.I will play the games of lust and passion so that I can learn the rules. So that I can break them.And then I will take back what is mine and claim my revenge. Not all mortal women are delicate flowers--some have thorns.~*~*~*~*~*~*~*~*~*~Perfect for fans of The Cruel Prince, A Court of Thorns and Roses and The Serpent and the Wings of Night. This dark portal fantasy features an arrogant, sexy and vicious morally-gray Fae. Witty banter meets jaw dropping twists.“Obsidian is a masterclass in character development, action, and everything I love about Portal Fantasy.”-Renee, FatedBookReviewsThe challenges, magic, and world building are top tier. The banter and laugh out loud moments kept me wanting more and not able to put this book down.”-Tara Sandborg, Tara_Reads_Romantasy“In true K.F. Breene fashion, the tension and chemistry between our MCs is off the charts.”-Ashley, GR Reviewer  Read more","paranormal"
"Zodiac Academy 7: Heartless Sky","Caroline Peckham","4.4 out of 5 stars","(64,471)","","The winds of fate are shifting.And it finally seems like they’ve been twisted in our favour.On the run and cast out from society, we’ve been forced to hide from the mad man who stole our throne. But as more secrets come to light and my sister and I work harder than ever before to reach our potential and claim our birth right, the end is finally drawing closer.There is no turning from this path now. The curse chases on our heels as time rushes by and the blood drenched destiny of the man I love looms ever closer just like the monster who stole our throne.We must prepare for the final battle, but three things are clear now.The cards have already been dealt.Blood will spill for a new future to rise.And the stars themselves can’t help us.The fight for the throne is upon us. All hail the heartless sky.  Read more","paranormal"
"The Nanny and Her Alphas: An Omegaverse Reverse Harem Romance (Knotted and Claimed Standalone Series)","Layla Sparks","4.1 out of 5 stars","(224)","","""I killed your fathers.""Her mother's betrayal only makes Francine jump at the chance at leaving her mother's apartment to work at her new babysitting assignment.She never expected to live in a home of four billionaire alpha brothers who look at her like she's their next meal.Kieran. Rowan. Drake. Elias.Hired to care for their eight-year-old sister, Francine steps into a world of luxury, dominance, and irresistible pull. Kieran, the pack leader, immediately sets hard rules: no brother is to be alone with her.But when she suddenly goes into heat... no alpha can resist a pull of an omega, even the pack leader who supposedly hates her.""I want to be the one to take your virginity, Francine,"" he grunts. ""To be the first inside you. Would you like that? Would you like me to break you in today?""The Nanny and Her Alphas is a dark omegaverse reverse harem filled with rejection, knotting bonds, groveling alphas, and a love forged through fire and forgiveness. A scorching why-choose romance featuring four possessive alphas, and a guaranteed HEA. No MM.Tropes:Forced ProximityPlenty of KnottingPossessive AlphasFated PackWhy-ChooseGuaranteed HEA  Read more","paranormal"
"Stalked by Seduction and Shadows (Eternal Obsession Book 1)","Maggie Sunseri","4.2 out of 5 stars","(9,113)","","A dark stalker fantasy romance in a city of warring vampire clans, perfect for fans of Haunting Adeline, From Blood and Ash, and Gild.ScarlettI am an object of desire. My powers of seduction are my survival, my weapon, and my curse. I’m no stranger to obsession, but for the first time, I crave it. I love when he watches me, follows me, hunts me.In the mortal lands, I was safe from him. Navigating a city of ruthless vampires to save my sister from the human slave trade was already treacherous. But with the ruling vampire lord’s unrelenting focus on me, I fear his shadows might never let me go.RuneI’ve always watched her. But now I more than desire her; I thirst for her. She is my addiction, my soul, my Little Flame. I tried to let her go, but she found her way back to me, and I’ve taken that as permission. I’ll claim her in front of the whole world if that’s what it takes to protect what’s mine.As war and upheaval threaten the city I have ruled for centuries, it is this vulnerable, tempting human who poses the biggest threat of all. I might be Scarlett’s worst nightmare, but this little seductress will be my very undoing.Stalked by Seduction and Shadows is the first book in a dark fantasy romance duet featuring a morally gray, obsessed hero, a seductress heroine, shadow magick, vampire clans, and love written in the stars.~~~~~This book ends on a cliffhanger. Content warnings can be found on the author's website.  Read more","paranormal"
"Kiss of the Basilisk: A Split or Swallow Novel","Lindsay Straube","4.1 out of 5 stars","(27,797)","","From internet sensation Lindsay Straube comes the first in a searing romantasy series where survival demands submission, and desire is the most dangerous game of all.Temperance Verus has never been kissed—not exactly ideal for a girl competing in the palace's most closely watched matchmaking ritual. Every year, a select group is invited to bond with the realm's magical basilisks and train in the art of charm, poise, and influence. The prize? A chance to win the prince's favor—and a life of privilege.Tem expects rules, gowns, and etiquette.She doesn't expect her assigned partner to be Caspen—the Serpent King, commanding, mysterious, and anything but safe. As he pushes her to unlock the strength she never knew she had, Tem finds herself drawn into something deeper, stranger, and far more powerful than royal approval. But not all bonds are built for the court, and some secrets are meant to break them.Readers call it ""feral, spicy, and unforgettably bold."" For fans of morally grey monsters, slow-burn fantasy romance, and stories that subvert the fairytale script.  Read more","paranormal"
"Eyes of Devious Burgundy: Deathcaller Duet, Book 1 (An Age of War and Prophecy)","Lacey Lehotzky","4.3 out of 5 stars","(3,349)","","In the midst of war, love might be the deadliest weapon of all.For ten long years, Angels and Demons have waged a brutal war, with one man standing between the Demons and total annihilation: Rokath, the cruel and merciless general feared for his power to raise the dead.A prophecy whispers of a woman with eyes of devious burgundy who will shift the balance of power, but Rokath has plans of his own. After a deadly plague wipes out millions of Demons across the realm, Rokath issues an unforgiving command—every family must send one male to the front or face being put to the sword.Assyria, a sharp-tongued, burgundy-eyed farmgirl, is trapped in an abusive marriage to a nobleman who only values her for the power she could give their offspring. Her life unravels when Rokath’s soldiers arrive with the decree. A violent clash leaves her covered in blood—and running for her life. With her rare magic, she assumes the form of her slain husband and marches off to war, hiding among the very men she’s sworn to hate for killing her family.In a society where women must remain veiled and pure, Assyria's survival hinges on secrecy. Yet nothing can prepare her for the sharp, sinister gaze of Rokath, whose punishments for disobedience are swift and savage.When their paths cross, fate sets into motion a dangerous chain of events neither of them can control. With tension crackling between them and thousands of lives balanced on a knife’s edge, will their unlikely connection ignite salvation for the Demons—or doom them to destruction?Eyes of Devious Burgundy is the first book in the Deathcaller Duet, a slow meet, hate-to-love, banter-filled high dark fantasy romance with a vicious, dangerous MMC and a fiery FMC. Perfect for fans of A Choice of Light and Dark, Carissa Broadbent, and LJ Andrews. An Age of War and Prophecy is a series of interconnected duets and standalones centering around the world-altering events of the Great War between the Angels and Demons. While each book or duet has its own romance plot, the war plot requires full series commitment. AAOWAP contains mature, dark themes that some readers might find disturbing. A full TW list is available on the author’s website.  Read more","paranormal"
